"MEMBER_ID"	"MEMBER_NAME"	"MEMBER_ACCOUNT"	"MEMBER_STATUS_CODE"	"FORMALIZED_DATETIME"	"BIRTHDATE"	"VERSION_NO"
"1"	"Stojkovic"	"Pixy"	"FML"	"2007-12-01 11:01:10.000"	"1965-03-03 00:00:00"	"0"
"2"	"Savicevic"	"Genius"	"PRV"	""	"1966-09-15 00:00:00"	"0"
"3"	"Mijatovic"	"Mijato"	"WDL"	"2005-10-03 13:03:30.000"	""	"0"
"4"	"Stankovic"	"Stanko"	"FML"	"2006-09-04 14:04:40.000"	"1978-09-11 00:00:00"	"0"
"5"	"Milosevic"	"Milose"	"FML"	"2007-08-05 15:05:50.000"	""	"0"
"6"	"Mihajlovic"	"FreeKick"	"WDL"	"2006-07-06 16:06:40.000"	"1969-02-20 00:00:00"	"0"
"7"	"アカギ"	"Akagi"	"FML"	"2005-06-07 17:07:30.000"	""	"0"
"8"	"Kezman"	"RedCard"	"FML"	"2006-05-08 18:08:20.000"	""	"0"
"9"	"Maslovar"	"JEFUnited"	"FML"	"2007-12-31 00:00:00.000"	"1967-02-20 00:00:00"	"0"
"10"	"諸葛亮孔明"	"ShokatsuGoGo"	"PRV"	""	""	"0"
"11"	"Boban"	"Boban"	"FML"	"2007-12-01 11:01:10.000"	"1968-10-08 00:00:00"	"0"
"12"	"Suker"	"Suker"	"PRV"	""	"1968-01-01 00:00:00"	"0"
"13"	"Jarni"	"Jarni"	"WDL"	"2005-10-03 13:03:30.000"	"1968-10-26 00:00:00"	"0"
"14"	"Boksic"	"Boksic"	"FML"	"2006-09-04 14:04:40.000"	"1970-01-21 00:00:00"	"0"
"15"	"Prosinecki"	"Prosinecki"	"FML"	"2004-08-05 15:05:50.000"	"1969-01-12 00:00:00"	"0"
"16"	"RobeltKovac"	"RobeltKovac"	"WDL"	"2006-07-06 16:06:40.000"	""	"0"
"17"	"NikoKovac"	"NikoKovac"	"FML"	"2005-06-07 17:07:30.000"	""	"0"
"18"	"Jovanovic"	"Jovano"	"FML"	"2006-05-08 18:08:20.000"	"1981-04-18 00:00:00"	"0"
"19"	"Milko"	"Milko"	"FML"	"2005-12-31 12:34:56.000"	"1974-09-10 00:00:00"	"0"
"20"	"諸葛瑾子瑜"	"ShokatsuKinKin"	"FML"	"2001-12-31 23:59:59.000"	""	"0"
